,address,target_building_id,target_address
20918,"Профессора Попова ул., 2П5",94530,"г.Санкт-Петербург, улица Профессора Попова, дом 2, литера П"
17700,"Малый пр. ВО, 64А",95527,"г.Санкт-Петербург, Малый проспект В.О., дом 64, корпус 2, литера А"
10659,"Малая ул., 14А",86117,"г.Санкт-Петербург, Малая Балканская улица, дом 14, корпус 1, литера А"
26938,"Большой пр. ВО, 90к2з",46590,"г.Санкт-Петербург, Большой проспект В.О., дом 90, корпус 2, литера З"
8925,"Никольская пл., 1а",28185,"г.Санкт-Петербург, Никольская площадь, дом 1, литера А"
18448,"21-я линия ВО, 2",90498,"г.Санкт-Петербург, 21-я линия В.О., дом 2"
23520,"Сестры наб., 35",108199,"Санкт-Петербург, город Сестрорецк, набережная реки Сестры, дом 35, литера А"
27720,"Кронверкская наб., 3А",110740,"г.Санкт-Петербург, Кронверкская набережная, дом 3, литера А"
20434,"Губина ул., 21",106970,"г.Санкт-Петербург, улица Губина, дом 21, литера А"
27862,"Клинский пр., 17",62584,"г.Санкт-Петербург, Клинский проспект, дом 17"
17189,"Подбельского шоссе, 3",198719,"Санкт-Петербург, город Пушкин, шоссе Подбельского, дом 3, литера А"
27322,"Металлистов пр., 114х",79846,"г.Санкт-Петербург, проспект Металлистов, дом 114, корпус 1, литера А"
15367,"4-я линия ВО, 15",50592,"г.Санкт-Петербург, 4-я линия В.О., дом 15, литера А"
6672,"Литераторов ул., 15х",21121,"г.Санкт-Петербург, улица Литераторов, дом 15"
34482,"13-я линия ВО, 12",12336,"г.Санкт-Петербург, 13-я линия В.О., дом 12, литера А"
4012,"Академика Лебедева ул., 6Ш",33811,"г.Санкт-Петербург, улица Академика Лебедева, дом 6, литера Ш"
8266,"Седова ул., 52к2",13747,"г.Санкт-Петербург, улица Седова, дом 52, корпус 2, литера А"
18527,"Приморское шоссе, 533",20717,"Санкт-Петербург, город Зеленогорск, Приморское шоссе, дом 533, литера А"
28104,"Почтамтская ул., 13",1507,"г.Санкт-Петербург, Почтамтская улица, дом 13, литера А"
18663,"Санкт-Петербургское шоссе, 115У",49429,"Санкт-Петербург, посёлок Левашово, Горское шоссе, дом 115, литера А"
17179,"Железнодорожная ул., 1х",16512,"г.Санкт-Петербург, Горелово, Железнодорожная улица, дом 1"
1365,"Коли Томчака ул., 28",44511,"г.Санкт-Петербург, улица Коли Томчака, дом 28, литера А"
9096,"Выборгское шоссе, 116",83159,"г.Санкт-Петербург, Выборгское шоссе, дом 116, литера А"
16963,"Тургенева пл., 1",130719,"г.Санкт-Петербург, площадь Тургенева, дом 1, литера А"
18358,"Карла Маркса пр., 1",32159,"Санкт-Петербург, посёлок Левашово, проспект Карла Маркса, дом 1, литера А"
4313,"Хвойная ул., 25",78440,"г.Санкт-Петербург, Хвойная улица, дом 25, литера А"
22997,"Сестры наб., 30А",68423,"Санкт-Петербург, город Сестрорецк, набережная реки Сестры, дом 30, литера А"
15457,"Савушкина ул., 32",17214,"г.Санкт-Петербург, улица Савушкина, дом 32, литера А"
4227,"Бухарестская ул., 14А",61943,"г.Санкт-Петербург, Бухарестская улица, дом 14, литера А"
31963,"Большой пр. ВО, 38",63674,"г.Санкт-Петербург, Большой проспект В.О., дом 38"
32283,"Восстания ул., 38",78006,"г.Санкт-Петербург, улица Восстания, дом 38, литера А"
27208,"Ключевая ул., 69",55285,"Санкт-Петербург, посёлок Песочный, Ключевая улица, дом 69, литера А"
22848,"Новая ул., 5",70188,"Санкт-Петербург, посёлок Лисий Нос, Новая улица, дом 5, корпус 1, литера А"
10549,"Широкая ул., 1а",113122,"Санкт-Петербург, город Петергоф, Широкая улица, дом 1, литера А"
25764,"Доблести ул., 28к2",107213,"г.Санкт-Петербург, улица Доблести, дом 28, корпус 2, литера А"
1598,"Танкиста Хрустицкого ул., 82",30555,"г.Санкт-Петербург, улица Танкиста Хрустицкого, дом 82, литера А"
14645,"Парки Ораниенбаума, 31",30929,"Санкт-Петербург, город Ломоносов, Ораниенбаумский проспект, дом 31, литера А"
19805,"Ждановская наб., 1",60873,"г.Санкт-Петербург, Ждановская набережная, дом 1"
16306,"Мебельная ул., 21к2",3423,"г.Санкт-Петербург, Мебельная улица, дом 21, корпус 2, литера А"
14132,"Шлиссельбургское шоссе, 129",34687,"Санкт-Петербург, посёлок Усть-Ижора, Шлиссельбургское шоссе, дом 129, литера А"
19180,"Борисова ул., 10",27023,"Санкт-Петербург, город Сестрорецк, улица Борисова, дом 10, литера А"
38572,"Кораблестроителей ул., 31",58588,"г.Санкт-Петербург, улица Кораблестроителей, дом 31, корпус 1, литера А"
32492,"Севастьянова ул., 15",28083,"Санкт-Петербург, город Колпино, улица Севастьянова, дом 15, литера А"
32651,"Некрасова ул., 12",36596,"Санкт-Петербург, город Ломоносов, улица Некрасова, дом 12, литера А"
27326,"Зеленков пер., 6к1",82231,"г.Санкт-Петербург, Зеленков переулок, дом 6, корпус 1, литера А"
9764,"Грибоедова наб.к., 18-20М",44743,"г.Санкт-Петербург, набережная канала Грибоедова, дом 18-20, литера М"
15289,"Маршала Захарова ул., 18к3",125164,"г.Санкт-Петербург, улица Маршала Захарова, дом 18, корпус 3, литера А"
10359,"Радищева ул., 22",77095,"Санкт-Петербург, город Пушкин, улица Радищева, дом 22, литера А"
4737,"Непокоренных пр., 16к1",18063,"г.Санкт-Петербург, проспект Непокорённых, дом 16, корпус 1, литера А"
4293,"Кондратьевский пр., 72",139087,"г.Санкт-Петербург, Кондратьевский проспект, дом 72, литера А"
17404,"Хасанская ул., 10к2",72876,"г.Санкт-Петербург, Хасанская улица, дом 10, корпус 2, литера А"
24800,"7-я линия, 5",24045,"Санкт-Петербург, город Сестрорецк, 7-я линия, дом 5, литера А"
5757,"Автовская ул., 15к2",59797,"г.Санкт-Петербург, Автовская улица, дом 15, корпус 2, литера А"
14435,"Конституции пл., 3к2",196510,"г.Санкт-Петербург, площадь Конституции, дом 3, корпус 2, литера А"
6132,"Стачек пр., 90к2",80200,"г.Санкт-Петербург, проспект Стачек, дом 90, корпус 2, литера А"
8949,"Большая Морская ул., 35А",196867,"г.Санкт-Петербург, Большая Морская улица, дом 35, литера М"
10751,"Союза Печатников ул., 24Б",77197,"г.Санкт-Петербург, улица Союза Печатников, дом 24, литера Б"
