,address,target_building_id,target_address
5348,"Шмидта лейтенанта наб., д.13",96846,"г.Санкт-Петербург, набережная Лейтенанта Шмидта, дом 13, литера А"
2834,"9 Советская , д.23",98045,"г.Санкт-Петербург, 9-я Советская улица, дом 23, литера А"
4401,"17 линия, д.8",99937,"г.Санкт-Петербург, 17-я линия В.О., дом 8, литера А"
4336,"15 линия, д.76",124398,"г.Санкт-Петербург, 15-я линия В.О., дом 76, литера Е"
4642,"7 линия, д.66",28204,"г.Санкт-Петербург, 7-я линия В.О., дом 66, литера А"
674,"Шкапина, д.28-30",80687,"г.Санкт-Петербург, улица Шкапина, дом 28, литера А"
3459,"Можайская, д.22",100597,"г.Санкт-Петербург, Можайская улица, дом 22, литера А"
2396,"Дорога на Турухтанные острова, д.8",108538,"г.Санкт-Петербург, дорога на Турухтанные Острова, дом 8"
1063,"Рижский, д.36",37381,"г.Санкт-Петербург, Рижский проспект, дом 36, литера А"
821,"Промышленная, д.22",67432,"г.Санкт-Петербург, Промышленная улица, дом 22, литера А"
1200,"наб. кан. Грибоедова, д.176",9202,"г.Санкт-Петербург, набережная канала Грибоедова, дом 176, литера А"
5578,"Федосеенко, д.31",11404,"г.Санкт-Петербург, улица Федосеенко, дом 31, литера А"
3701,"Подольская , д.12",60469,"г.Санкт-Петербург, Подольская улица, дом 12, литера А"
393,"4 Красноармейская, д.11",64335,"г.Санкт-Петербург, 4-я Красноармейская улица, дом 11, литера А"
5946,"Будапештская, д.29",78232,"г.Санкт-Петербург, Будапештская улица, дом 29, корпус 1, литера А"
5753,"Маршала Тухачевского, д.37",5907,"г.Санкт-Петербург, улица Маршала Тухачевского, дом 37, литера А"
5679,"Брюсовская, д.20",110727,"г.Санкт-Петербург, Брюсовская улица, дом 20, литера А"
1839,"Маршала Жукова, д.76",204839,"г.Санкт-Петербург, проспект Маршала Жукова, дом 76, корпус 1, литера А"
6302,"Турку, д.26",69841,"г.Санкт-Петербург, улица Турку, дом 26, литера А"
4687,"9 линия, д.2",52476,"г.Санкт-Петербург, 9-я линия В.О., дом 2, корпус 2, литера А"
5663,"Пискаревский, д.40",131285,"г.Санкт-Петербург, Пискарёвский проспект, дом 40, литера А"
3944,"Тверская , д.13",102,"г.Санкт-Петербург, Тверская улица, дом 13, литера А"
2226,"Зайцева, д.39к.2",78,"г.Санкт-Петербург, улица Зайцева, дом 39, литера А"
1242,"Канонерская, д.6-8-10",93475,"Санкт-Петербург, город Сестрорецк, Малая Канонерская улица, дом 6, литера А"
3749,"Радищева , д.9",127273,"г.Санкт-Петербург, улица Радищева, дом 9, литера А"
5583,"Металлистов, д.119",61601,"г.Санкт-Петербург, проспект Металлистов, дом 119, литера А"
5405,"Комсомола, д.35",56462,"г.Санкт-Петербург, улица Комсомола, дом 35, литера А"
7118,"Выборгская , д.4",73471,"г.Санкт-Петербург, Выборгская улица, дом 4, литера А"
1700,"Маршала Захарова, д.62",64238,"г.Санкт-Петербург, улица Маршала Захарова, дом 62, корпус 1, литера А"
1961,"Лени Голикова, д.15",81136,"г.Санкт-Петербург, улица Лёни Голикова, дом 15, литера А"
