,address,target_building_id,target_address
4070,"196641, Санкт-Петербург г, Школьная ул, д.5",76337,"Санкт-Петербург, город Павловск, Пязелево, Школьная улица, дом 5, литера А"
7573,"Санкт-Петербург (г.), Железнодорожный (пр-кт.), д.14 2 1",220011,"г.Санкт-Петербург, Железнодорожный проспект, дом 14, корпус 2, строение 1"
5815,"198325, Санкт-Петербург г, Красное Село г, Театральная (Дудергоф) ул, д.9",109979,"Санкт-Петербург, город Красное Село, Дудергоф, Театральная улица, дом 9, литера А"
2159,"195256, Санкт-Петербург (г.), Верности (ул.), д.28, Строение 2",72112,"г.Санкт-Петербург, улица Верности, дом 28, корпус 2, литера А"
1476,"194291, Санкт-Петербург (г.), Кустодиева (ул.), д.1, Строение А",186531,"г.Санкт-Петербург, улица Кустодиева, дом 1, литера А"
3146,"198096, Санкт-Петербург г, Стачек пр-кт, д.67, Строение 7",32754,"г.Санкт-Петербург, проспект Стачек, дом 67, корпус 7, литера А"
4874,"195298, Санкт-Петербург г, Наставников пр-кт, д.9, Строение 2",100545,"г.Санкт-Петербург, проспект Наставников, дом 9, корпус 2, литера А"
10323,"197374, Санкт-Петербург г, Савушкина ул, д.115, Строение 2",83589,"г.Санкт-Петербург, улица Савушкина, дом 115, корпус 2, литера А"
281,"190121, Санкт-Петербург (г.), Санкт-Петербург г, наб Адмиралтейского канала, д.9, литера",20674,"г.Санкт-Петербург, набережная Адмиралтейского канала, дом 9, литера А"
2085,"195221, Санкт-Петербург (г.), Металлистов (пр-кт.), д.63, Строение 2",4413,"г.Санкт-Петербург, проспект Металлистов, дом 63, корпус 2, литера А"
9051,"Санкт-Петербург (г.), Глухая Зеленина (ул.), д.6, Строение А",88287,"г.Санкт-Петербург, Глухая Зеленина улица, дом 6, литера А"
6210,"198328, Санкт-Петербург г, Ленинский пр-кт, д.78, Строение 3",133502,"г.Санкт-Петербург, Ленинский проспект, дом 78, корпус 3, литера А"
3981,"196657, Санкт-Петербург г, Колпино г, Трудящихся б-р, д.25, Строение 2",42276,"Санкт-Петербург, город Колпино, бульвар Трудящихся, дом 25, корпус 2, литера А"
793,"Санкт-Петербург (г.), Александра Матросова (ул.), д.8 2",214214,"г.Санкт-Петербург, улица Александра Матросова, дом 8, корпус 1, строение 1"
3448,"198095, Санкт-Петербург г, Балтийская ул, д.4",104721,"Санкт-Петербург, город Ломоносов, Балтийская улица, дом 4, литера А"
9584,"197183, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина, д.24 А",111743,"г.Санкт-Петербург, улица Савушкина, дом 24, литера А"
2995,"195252, Санкт-Петербург (г.), Карпинского (ул), д.24,2, А",49750,"г.Санкт-Петербург, улица Карпинского, дом 24, корпус 2, литера А"
5912,"198330, Санкт-Петербург г, Десантников ул, д.20, Строение 2",42082,"г.Санкт-Петербург, улица Десантников, дом 20, корпус 2, литера А"
436,"199397, Санкт-Петербург г, Наличная ул, д.40, Строение 3",40529,"г.Санкт-Петербург, Наличная улица, дом 40, корпус 3, литера А"
11996,"192239, Санкт-Петербург г, Славы пр-кт, д.7, Строение 3",47255,"г.Санкт-Петербург, проспект Славы, дом 7, корпус 3, литера А"
3660,"198303, Санкт-Петербург г, Маршала Жукова пр-кт, д.34, Строение 2",79385,"г.Санкт-Петербург, проспект Маршала Жукова, дом 34, корпус 2, литера А"
8765,"193318, Санкт-Петербург г, Джона Рида ул, д.6",77102,"г.Санкт-Петербург, улица Джона Рида, дом 6, литера А"
5074,"195279, Санкт-Петербург г, Ударников пр-кт, д.38, Строение 3",6485,"г.Санкт-Петербург, проспект Ударников, дом 38, корпус 3, литера А"
8968,"197101, Санкт-Петербург г, Пушкарская Б. ул, д.56",102150,"г.Санкт-Петербург, Большая Пушкарская улица, дом 56, литера А"
10408,"197373, Санкт-Петербург г, Авиаконструкторов пр-кт, д.4, Строение 2",46271,"г.Санкт-Петербург, проспект Авиаконструкторов, дом 4, корпус 2, литера А"
7362,"196158, Санкт-Петербург (г.), Санкт-Петербург г, Дунайский проспект, д.7 5",83153,"г.Санкт-Петербург, Дунайский проспект, дом 7, литера А"
3649,"198302, Санкт-Петербург г, Маршала Казакова ул, д.5, Строение 2",16617,"г.Санкт-Петербург, улица Маршала Казакова, дом 5, корпус 2, литера А"
1783,"194356, Санкт-Петербург (г.), Санкт-Петербург г, Есенина ул, д.18-3, А",78165,"г.Санкт-Петербург, улица Есенина, дом 18, корпус 3, литера А"
7698,"193168, Санкт-Петербург г, Дыбенко ул, д.24, Строение 3",93065,"г.Санкт-Петербург, улица Дыбенко, дом 24, корпус 3, литера А"
8769,"192174, Санкт-Петербург г, Седова ул, д.152",34006,"г.Санкт-Петербург, улица Седова, дом 152, литера В"
4630,"195067, Санкт-Петербург г, Бестужевская ул, д.49",3741,"г.Санкт-Петербург, Бестужевская улица, дом 49, литера А"
12797,"191023, Санкт-Петербург г, Гороховая ул, д.38",52077,"г.Санкт-Петербург, Гороховая улица, дом 38, литера А"
7999,"193231, Санкт-Петербург г, Латышских Стрелков ул, д.11, Строение 3",107307,"г.Санкт-Петербург, улица Латышских Стрелков, дом 11, корпус 3, литера А"
1091,"194355, Санкт-Петербург (г.), Санкт-Петербург г, Жени Егоровой ул, д.5-2 А",95030,"г.Санкт-Петербург, улица Жени Егоровой, дом 5, корпус 2, литера А"
9591,"197183, Санкт-Петербург г, Черной речки наб, д.8",51268,"г.Санкт-Петербург, набережная Чёрной речки, дом 8, литера А"
8644,"193149, Санкт-Петербург (г.), Русановская (ул.), д.9, Строение 2",213879,"г.Санкт-Петербург, Русановская улица, дом 9, корпус 2, строение 1"
178,"190013, Санкт-Петербург г, Бронницкая ул, д.33",80295,"г.Санкт-Петербург, Бронницкая улица, дом 33, литера А"
7565,"192076, Санкт-Петербург (г.), Славянская ул.,, д.19 1",204782,"Санкт-Петербург, муниципальный округ Лахта - Ольгино, территория Лахта, Славянская улица, дом 19, литера А"
5128,"195298, Санкт-Петербург г, Косыгина пр-кт, д.30, Строение 4",48212,"г.Санкт-Петербург, проспект Косыгина, дом 30, корпус 4, литера А"
12848,"191015, Санкт-Петербург г, Советская 9-я ул, д.4-6",89924,"г.Санкт-Петербург, 9-я Советская улица, дом 4-6, литера А"
11575,"188289, Ленинградская обл, Луга г, Детский городок Лесное, д.1",,
973,"194223, Санкт-Петербург (г.), Санкт-Петербург г, 2-й муринский пр-т, д.3 А",107051,"г.Санкт-Петербург, 2-й Муринский проспект, дом 3, литера А"
8890,"197022, Санкт-Петербург (г.), Санкт-Петербург г, Академика Павлова ул, д.д.8 к2",207142,"г.Санкт-Петербург, улица Академика Павлова, дом 8, корпус 2, литера А"
7045,"196233, Санкт-Петербург (г.), Санкт-Петербург г, Космонавтов пр-кт, д.37 А",74437,"г.Санкт-Петербург, проспект Космонавтов, дом 37, литера А"
7501,"196240, Санкт-Петербург (г.), Санкт-Петербург г, 5-й Предпортовый проезд, д.6",34391,"г.Санкт-Петербург, 5-й Предпортовый проезд, дом 6, корпус 1, литера А"
8995,"197022, Санкт-Петербург г, Грота ул, д.2",32460,"г.Санкт-Петербург, улица Грота, дом 2, литера А"
11912,"192283, Санкт-Петербург г, Загребский б-р, д.41",44418,"г.Санкт-Петербург, Загребский бульвар, дом 41, литера А"
6325,"198206, Санкт-Петербург г, Ветеранов пр-кт, д.173, Строение 5, стр.1",211803,"г.Санкт-Петербург, проспект Ветеранов, дом 173, корпус 5, строение 1"
9587,"197183, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина, д.18 А",16592,"г.Санкт-Петербург, улица Савушкина, дом 18, литера А"
7628,"193168, Санкт-Петербург г, Антонова-Овсеенко ул, д.15",6435,"г.Санкт-Петербург, улица Антонова-Овсеенко, дом 15, литера А"
2281,"195220, Санкт-Петербург (г.), Гражданский (пр-кт.), д.27, Строение 3",2471,"г.Санкт-Петербург, Гражданский проспект, дом 27, корпус 3, литера А"
931,"194362, Санкт-Петербург (г.), Санкт-Петербург г, Фёдора Абрамова ул, д.16-2 А",212814,"Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, дом 16, корпус 2, строение 1"
2938,"195197, Санкт-Петербург (г.), Полюстровский (пр-кт.), д.65 А",222907,"г.Санкт-Петербург, Полюстровский проспект, дом 65, строение 1"
10334,"197374, Санкт-Петербург г, Яхтенная ул, д.9, Строение 4,литер А",20589,"г.Санкт-Петербург, Яхтенная улица, дом 9, корпус 4, литера А"
